"","number_of_clusters","sum_of_square","average_silhouette_width"
"1",2,23418.1804686063,0.204601776178731
"2",3,20082.8317996463,0.171246262020545
"3",4,17377.772508728,0.188741985295111
"4",5,16279.9688333575,0.180218889451867
"5",6,15354.8118574014,0.148794195315808
"6",7,14654.8358079578,0.13462817141653
"7",8,14034.9186888073,0.135580959265277
"8",9,13484.539370737,0.138351712535548
"9",10,12990.1170835311,0.140621022336714
"10",11,12594.6482196431,0.139256058903095
"11",12,12269.1952075203,0.129669897267875
"12",13,11981.2914482637,0.131211873289349
"13",14,11712.5557536356,0.127820438706655
"14",15,11413.9507831441,0.126869518038514
