"","category","fraction","percentage"
"1","Dairy and eggs","0.0910659049174809",9.10659049174809
"2","Fish and meat","0.124019434179004",12.4019434179004
"3","Fruit and vegetables","0.356211642433789",35.6211642433789
"4","Grains","0.217699535683038",21.7699535683038
"5","Oils and sauces","0.0434993112533848",4.34993112533848
"6","Readymade","0.0589765586972016",5.89765586972016
"7","Sweets","0.108527612836101",10.8527612836101
"8","Dairy","0.0652339928490235",6.52339928490235
"9","Eggs","0.0258319120684574",2.58319120684574
"10","Fats and oils","0.0281609924083655",2.81609924083655
"11","Sauces","0.0153383188450193",1.53383188450193
"12","Fish","0.0201156736225159",2.01156736225159
"13","Red meat","0.0547228284715966",5.47228284715966
"14","Poultry","0.0491809320848918",4.91809320848918
